cycles,instructions,cache_misses,branch_misses,label
156312500,118995742,652091,336627,2
98389666,80824168,127047,77322,2
95791852,80851732,122132,78477,2
98363015,80844238,132113,77818,2
97376341,80801956,157470,79763,2
98671229,80806081,134149,81947,2
143004323,107276067,517219,256290,2
143090022,107231213,453175,265017,2
137253988,107226596,486699,253866,2
135811227,107232068,478017,252355,2
84412204,75662853,67128,46041,2
88616315,75637658,77457,46076,2
84575892,75642309,70546,45730,2
88647117,75653916,70229,45603,2
88481775,75640096,64278,46358,2
89817783,75651520,68555,45816,2
155379456,115219208,654765,298793,2
154078870,115157890,672364,308876,2
151977079,115117745,558213,307454,2
150087815,115152546,618819,307426,2
124409988,74060068,927935,469953,2
202157425,144664436,862903,491478,2
125823321,74070694,1031182,493422,2
114853388,90427882,238447,140075,2
113287651,90336039,252398,143930,2
109683395,90344253,243643,133587,2
111832963,90390744,247176,146157,2
113049843,90367932,259272,139090,2
184549343,133002991,778594,410625,2
186582428,132854595,819908,438838,2
185786126,132740083,756208,412928,2
182871260,132789783,777878,420565,2
137934577,105844477,454939,242573,2
134751378,105787955,455549,249517,2
137613498,105784018,460860,241419,2
143853134,109445954,492695,268555,2
140955536,109506958,486553,268248,2
143359534,109502342,560131,265848,2
146402798,109459055,447334,268149,2
159482618,116941734,620198,309079,2
162570350,118214971,529205,345856,2
153208054,116899173,591393,320217,2
152419220,116998035,589391,319564,2
89051849,75113800,66985,42459,2
88914897,75067836,64971,42479,2
88974785,75082359,63091,43078,2
89018878,75094718,56690,42534,2
82196652,75058845,59939,42547,2
77693177,46183407,544934,306655,2
78234909,46261125,584863,315262,2
78626128,46265159,590147,312308,2
77941080,46163705,526535,322795,2
77623984,46136059,651005,292095,2
180843133,131429340,790349,411871,2
179943707,131466124,830219,412891,2
180981292,131400388,694730,431169,2
184954754,133590358,882848,415301,2
186144934,133476063,812192,422919,2
186133747,133411317,815053,428212,2
161096919,120317453,621061,342086,2
165459204,120414879,688461,341185,2
164447258,120317146,567134,336986,2
149132711,113431551,522116,292077,2
152983909,113353226,486136,297718,2
153328374,113370882,607322,299666,2
153302493,113295033,544192,295749,2
121903772,96827164,348475,186579,2
125306149,96784209,320498,188465,2
125274602,96857069,306680,184787,2
121672246,96832791,290824,191550,2
151990670,112636735,528310,288909,2
148152129,112473546,587315,297342,2
147337843,112528449,492184,292901,2
205900791,145334692,1020343,493686,2
207122268,145441263,944703,503012,2
204311846,145302823,952858,508047,2
164723088,120286750,641720,354158,2
162557747,120281564,651767,338799,2
163695431,120261649,609193,358311,2
164106146,121975181,621326,345824,2
166803192,121927685,635920,361779,2
166392482,121933139,630975,340989,2
119717802,93390610,293234,158425,2
116895341,93396531,266800,164291,2
116959727,93399591,267100,158137,2
119492895,93340161,318526,159348,2
118428157,93369932,261566,165607,2
141377438,106304411,410750,246680,2
137273308,106321637,444373,255822,2
141479132,106364135,419504,243678,2
139888659,106305582,401346,242328,2
201695783,143039646,1048016,491582,2
203358780,142992982,900764,494452,2
202779021,142933706,911705,484894,2
131752819,101687865,356029,210804,2
131447609,101704458,408139,219302,2
134663876,102563512,363249,218614,2
203557113,143676424,991579,486200,2
201076847,143892615,913620,490749,2
204560171,143679085,1071504,501373,2
195656157,138335523,905160,469133,2
193867158,138347626,883737,452966,2
193034466,138320575,830366,465378,2
105681160,85888218,208806,111347,2
103879577,85864947,187187,108982,2
105999442,85902963,202041,116094,2
103007953,85902392,186855,112573,2
86864151,76274179,75222,48803,2
89717036,76336452,79887,49877,2
90030453,76281566,87619,49955,2
87510362,76269812,68725,50356,2
88146679,76269857,67628,48609,2
90853168,76254830,71808,49386,2
102125156,83916063,164234,99578,2
98492298,83921975,201006,100391,2
103662768,83915336,186502,98221,2
103885675,83939047,181849,101651,2
101945237,83922169,172292,102176,2
57873126,34346644,399495,231803,2
57659587,34381887,483962,216658,2
58015006,34331288,497842,223327,2
57892301,34420045,412331,228193,2
58537074,34392600,475938,233364,2
186442029,134104001,812115,423733,2
186086974,134059917,937770,429372,2
183547737,134062498,707243,416122,2
89728879,75666581,76654,45441,2
87240412,75642386,68306,45580,2
87252755,75651128,69928,46725,2
87160239,75641357,65100,43743,2
82338253,75605835,67759,45913,2
89829195,75638906,67429,44877,2
6567474,3643151,43564,30105,2
6506819,3632357,40743,30395,2
6571980,3665629,49325,29576,2
6535431,3654257,43409,30551,2
6471524,3636078,43168,30253,2
6595989,3651983,43072,30491,2
