cycles,instructions,cache_misses,branch_misses,label
138569257,84227506,758007,913011,3
111418322,59438030,734163,356300,3
106122308,59321878,749610,358149,3
109316249,63577902,576518,645281,3
114637708,61756309,893302,639950,3
37158421,20003376,195702,112213,3
37496266,20088243,199010,106735,3
36111622,19975783,203435,106640,3
36727745,20004586,209956,122172,3
37879813,22061737,93652,239892,3
40981630,22577040,182784,241615,3
40652355,21705067,127330,217837,3
36821545,19983642,177470,113927,3
37190445,19729940,226693,109410,3
35849033,19792397,194868,106180,3
38438222,21191545,229353,215659,3
37167187,19681378,237234,155271,3
41324746,22297329,109889,241766,3
37163324,19632387,202244,137048,3
36677921,19720292,193488,109744,3
36955741,19830439,201873,109798,3
121343223,71351453,717708,727077,3
113688756,60806330,909936,556495,3
126082382,75456207,508781,850955,3
110690378,61194761,788707,377545,3
86855001,47367013,598489,439863,3
93800740,56801912,490555,718415,3
97850763,55333751,571951,607196,3
86201115,45859825,691589,315837,3
86539691,50291149,468495,460766,3
126313117,77053536,827578,843279,3
126138651,74274828,696788,768333,3
123673046,70122043,752831,679942,3
123397029,71946731,846641,623859,3
119756971,65372791,876560,523047,3
68117262,36451269,409334,219299,3
69311416,36561017,440192,212332,3
58125223,32041814,432412,211666,3
62013056,35438833,242506,436322,3
58928105,31963015,426465,271137,3
134301243,76467619,742540,695591,3
132410964,72239544,827475,442970,3
140259336,82237141,853418,853768,3
143215682,83894221,576843,891068,3
120194169,65178103,855895,404806,3
117151575,65139080,770826,405799,3
117040516,64987871,747927,450482,3
118998136,64259580,835656,465614,3
17078088,8544747,107304,62429,3
16320769,8535902,90325,61035,3
16464078,8531054,117237,61181,3
17273721,8587261,104995,75909,3
17365593,9386469,94505,114877,3
17938954,9385668,114166,104792,3
15939101,8578835,103163,61484,3
18414558,8896332,90466,85559,3
17329182,8519598,104572,60240,3
42150922,23005056,273573,124737,3
41845898,22924966,251397,136020,3
42474098,23012658,252221,143299,3
46738289,27426962,191355,289591,3
44411117,22990746,250991,126426,3
42327237,22990869,238378,129266,3
41572692,22984180,251241,129167,3
140178799,84117344,697002,839982,3
138246024,75170987,981402,762120,3
132139751,72599810,791550,443005,3
128749358,72733060,826373,470188,3
77760937,43893869,446621,272448,3
80725521,43656173,473833,284256,3
80154311,43906646,465358,261339,3
79784176,43967040,517319,275441,3
82451805,47834280,297674,528366,3
143325701,85614533,765406,901783,3
141531030,82590328,890779,755142,3
134546437,73816297,1039069,463895,3
148574099,88104609,1254021,1014418,3
141993221,80333919,825427,912829,3
131466604,73115467,778703,420030,3
132590751,75895112,736305,529128,3
133745904,72682847,997633,602075,3
122200937,70342771,504795,692414,3
111688933,61659445,862233,380348,3
113838232,70982398,596925,842549,3
112958876,64303505,783135,660633,3
91949529,49334222,583616,392018,3
85470190,46137898,491164,275134,3
83383654,46206089,546962,282542,3
87568269,51302556,533174,576032,3
92990167,55051244,577783,625271,3
92329803,55084709,370441,632444,3
143399393,82909633,900950,864473,3
140771247,80112134,902476,686641,3
148701811,89223607,836118,1090456,3
139421981,75608467,1035098,492993,3
54240915,30112684,300259,174759,3
54436510,30130737,336829,183161,3
53853265,29926082,366118,197532,3
59393122,33556594,275529,386122,3
55308304,30076322,332292,198562,3
55051736,30098896,318070,175621,3
56744370,30042962,368083,177253,3
122379600,69957484,709998,563508,3
134485357,78993295,691227,892903,3
129732680,74715758,753674,740916,3
119761135,66345523,786879,418457,3
13831433,7108873,39148,38578,3
13322345,7045330,38417,30370,3
13433481,7095652,25528,39058,3
15404487,7350979,38480,45260,3
13058564,7057514,37202,31640,3
14574643,7062710,37208,29985,3
13552745,6992202,38506,33852,3
16203093,7073821,36914,30998,3
13896912,7061479,35792,30044,3
13516052,7127065,38364,31550,3
6028062,2761593,34081,25274,3
6543457,2775043,35534,25640,3
9414545,2892093,24817,36665,3
8740450,3106146,29770,44482,3
6519996,2787440,32053,26949,3
6859184,2767842,32937,25364,3
7369883,2781640,37957,25851,3
6677887,2760878,30777,24821,3
6117522,2772715,36704,31444,3
6546217,3004063,24537,42053,3
34430313,19239284,183094,205127,3
35268497,19149415,187328,199948,3
35620384,17475382,173299,97972,3
32474073,17831733,192272,121369,3
31382909,17440855,161850,91521,3
31691970,17470381,163040,94166,3
32706804,17342732,180764,127681,3
31036886,17452955,166147,94767,3
41253474,22796783,170077,238248,3
37207576,20526423,215796,114665,3
40383605,20138072,222067,134883,3
38574208,20672027,217961,113810,3
37776850,20622988,198000,116862,3
39809605,22800262,183442,247902,3
40297192,22638137,147556,242491,3
36723063,20513143,219543,121456,3
53371846,27574514,258939,268396,3
54695789,30578973,241583,299788,3
51090037,28438441,250196,267174,3
48761663,27083156,268266,173985,3
49406293,27067974,331474,190489,3
52428064,30207384,174433,347832,3
79228382,46392603,362234,493146,3
75621905,40704597,493795,239112,3
73842983,40691236,447247,240979,3
76084292,43909068,474344,361034,3
72052480,40741429,484340,247914,3
82664702,48355467,467823,564634,3
88517418,47826952,568982,292217,3
92863095,53637597,380811,651353,3
85370972,47802818,590337,289741,3
85585534,47837277,502388,309925,3
93982576,54402015,492881,662746,3
87015605,47747365,570695,294333,3
17968205,9457560,69066,44000,3
17527444,9478954,72265,44852,3
17906451,9452748,65332,44124,3
18489340,10124473,65123,85709,3
18842929,9434068,67886,54278,3
19144268,11072599,62762,88254,3
18008049,9447331,71021,50924,3
19393128,10300151,41848,84765,3
19269316,9456164,68288,46125,3
107938750,60414688,661164,383878,3
110529514,62978308,705766,496068,3
118694618,68755696,749733,854047,3
121415604,72142873,670175,853705,3
120577808,61741315,758953,406205,3
96591235,55465293,677056,521123,3
90737369,49858431,661148,404540,3
93754241,51931615,514718,366211,3
92163906,49965246,561775,293726,3
92005506,50863539,553004,360074,3
73516649,39979332,571087,342125,3
76112842,41263303,474952,336250,3
76742326,42698922,468222,469631,3
74285231,40019257,559925,269296,3
75906043,42204951,561597,438077,3
108274791,57140999,800045,588511,3
107980756,59485522,653257,424395,3
103873450,57680709,755187,367054,3
113041691,67791175,495936,798063,3
68148321,34950356,508273,370540,3
67834875,35402282,411209,211621,3
64799376,35420778,423534,207322,3
63684830,35420485,404034,215504,3
70497853,38807908,389174,426280,3
67949090,39979254,342565,458297,3
6712000,3198041,33317,37097,3
6485976,3035429,36744,26636,3
7307685,3351121,34849,47555,3
7833195,3109883,37489,27341,3
7314632,3069439,35562,26927,3
7618150,3377436,39183,47746,3
6489567,3092088,42742,29986,3
7703048,3080173,39977,28329,3
8409190,2992297,48099,42287,3
142249848,79093673,900459,616313,3
134428637,75197472,906772,452648,3
136498745,76744187,896161,581864,3
146061997,84041941,722912,981975,3
24162872,12724530,101529,70197,3
23757666,12770735,104456,84670,3
23585573,12783917,120363,65931,3
23354548,12787391,113416,70900,3
23581060,12831722,108137,66618,3
24559212,13820863,105919,130254,3
25730697,13908399,63465,131410,3
27389969,12801994,111084,67519,3
154940741,92164053,874443,1012774,3
146329473,80416067,1049723,554474,3
162227770,97599134,1057556,1049871,3
162979314,92376736,940502,906850,3
144838147,80479735,1013096,496744,3
62117107,34613814,373311,287854,3
68066962,42519923,211736,468044,3
62083841,34330902,293936,288889,3
66884249,38064678,336227,434798,3
59618880,32993888,400525,194586,3
60603876,34178301,343534,236010,3
30180104,16090362,153899,88329,3
30730459,15768600,177007,131045,3
29348825,16022514,140652,88013,3
30545756,16021991,153807,83566,3
30755339,16002724,154797,83939,3
29470698,16016508,144332,84878,3
30544362,16111807,160630,102270,3
74298276,41161422,487217,251263,3
82269833,44801263,494697,470321,3
78583797,41175831,545498,298150,3
75475521,41171803,521238,240769,3
75338459,42039638,445997,299175,3
72288816,41140663,468561,241827,3
70044692,37403460,485413,346265,3
69039594,37010794,413119,222176,3
68569541,37443481,473833,223213,3
68006935,37470029,456355,230718,3
66837467,37311452,473126,237312,3
81606311,46694832,462569,408872,3
86544527,51134009,393933,500439,3
78942189,44056521,524524,264291,3
86423040,51286152,347663,556695,3
84790376,45145852,522067,468939,3
92099714,50470110,530266,414277,3
98582418,56018494,532332,566701,3
85945592,47621919,615446,313677,3
93933534,52037622,660181,389939,3
94102691,52098261,552976,329211,3
121511615,67023160,758647,401908,3
128172073,76062802,895570,701348,3
123682974,67730643,844367,635457,3
125315653,66908592,842547,403799,3
116176666,64554974,800749,434610,3
126890594,78307943,508039,944742,3
132973681,83196583,440379,965719,3
121561395,65026759,802525,457908,3
117272097,64849761,758765,429973,3
79214874,43177439,564714,324442,3
97557135,58384388,586035,617963,3
89379915,49701934,513430,374828,3
95111768,53587313,658203,639175,3
78649429,43149386,526886,295166,3
104768842,58352653,755294,366403,3
107976510,57130880,828273,518548,3
116705989,66150510,542998,671973,3
104289608,58503412,662733,349120,3
113393245,68299257,635104,712754,3
6788824,2798657,42258,31421,3
6465859,2870899,35562,25529,3
9789221,2915763,36072,30304,3
6892023,2868156,33015,26210,3
6739241,2873679,34550,25609,3
6871788,2890274,35920,25545,3
6783129,2872878,34767,25425,3
8071896,2907809,35207,28935,3
6523388,2884408,35781,27045,3
86837097,45772094,608346,416145,3
92564716,53388576,504315,549399,3
83992489,46470104,513153,277548,3
87720309,52112252,350573,495204,3
83795091,46470404,527342,343412,3
137208035,76544509,923716,470738,3
147893416,86444988,590449,1099899,3
143538647,84623891,728172,784031,3
142216645,76712270,1018697,744912,3
125168921,67665270,876510,396565,3
121595485,67548545,764409,424389,3
120273953,67436534,902138,474647,3
132974218,77612363,932000,841355,3
135919703,73468166,967474,447404,3
134066454,73311092,971714,514247,3
135259718,72711990,1007107,696166,3
46148608,24137922,226501,134696,3
44756353,24109792,265535,130383,3
43713755,24076130,222297,135049,3
44555401,24023355,272520,161004,3
44595621,23843452,296365,218835,3
44751206,23629337,261276,171502,3
64670515,35224835,443817,236537,3
63983860,35420994,376516,228185,3
69781189,41450539,397499,414807,3
66394564,38930809,307236,423180,3
68055532,35012132,527822,362262,3
69985086,40612299,221130,473467,3
128355083,75204701,801179,907307,3
120939126,67941297,748443,504352,3
131990910,79701688,438209,918661,3
129677031,66820002,897548,491666,3
119700769,66175817,818811,403816,3
18785802,9631784,72261,63671,3
17257387,9355030,67264,43257,3
18357638,9360010,66926,64388,3
18223660,9358852,65176,45792,3
17466711,9399728,63506,45124,3
20308032,9350246,58643,43309,3
19114860,9356319,61695,43304,3
140250089,84021247,691672,808947,3
136106250,74461570,1016914,691825,3
144882897,78322158,880666,522277,3
141176903,79316066,954060,553212,3
33616690,19099832,187147,101499,3
36494494,21114603,109194,226405,3
37447779,21159681,185879,229952,3
37930307,18978267,182143,121656,3
36392828,18878579,202357,118596,3
34977925,19091186,198730,106808,3
34545586,19062062,187183,104859,3
55516023,30904583,291640,358269,3
51135008,27718340,346170,224300,3
51184376,29801218,199441,289552,3
52289895,28538887,262482,218468,3
51345261,27749772,335599,164760,3
50389661,27744744,246789,163212,3
52622555,28163394,367979,228518,3
44896867,22214313,303306,223486,3
43362150,22748427,236100,131405,3
42248163,22716215,208184,128696,3
41076601,22653618,250382,127078,3
40973800,22558280,234246,135259,3
42939979,22810577,237832,137387,3
35069151,20331124,119406,212441,3
36491327,19503799,181702,203231,3
37578216,20305377,171076,189456,3
36143217,19028295,135377,175402,3
32655139,17775683,174188,95949,3
32384846,17739446,157101,95341,3
35465110,18116377,183367,125177,3
34292279,17781373,193203,133854,3
42587457,24922939,161584,274274,3
41030965,21994774,239749,124727,3
41610475,22104851,244001,120433,3
39311790,21993453,197990,123552,3
42919564,24174138,218176,224255,3
39714610,22061993,230945,126381,3
6467756,1154761,13482,17908,3
6841350,1127188,13488,15157,3
3324264,1121402,12944,14996,3
3623273,1158418,13725,15612,3
3917651,1128495,12783,14767,3
3936080,1127031,13085,14818,3
3650888,1168884,13269,17661,3
3308331,1133482,13867,15474,3
